1;2;3;2100;0.00001
1;3;3;2100;0.00001
2;3;3;2100;0.00001
2;4;3;2100;0.00001
3;4;3;2100;0.00001
3;5;3;2100;0.00001
4;5;3;2100;0.00001
4;6;3;2100;0.00001
5;6;3;2100;0.00001
5;7;3;2100;0.00001
6;7;3;2100;0.00001
6;8;3;2100;0.00001
7;8;3;2100;0.00001
7;9;3;2100;0.00001
8;9;3;2100;0.00001
8;10;3;2100;0.00001
9;10;3;2100;0.00001
9;14;3;2100;0.00001
10;14;3;2100;0.00001
10;15;3;2100;0.00001
14;15;3;2100;0.00001
10;11;3;2100;0.00001
11;15;3;2100;0.00001
15;16;3;2100;0.00001
11;16;3;2100;0.00001
11;12;3;2100;0.00001
12;16;3;2100;0.00001
16;17;3;2100;0.00001
12;17;3;2100;0.00001
12;13;3;2100;0.00001
13;17;3;2100;0.00001
17;18;3;2100;0.00001
13;18;3;2100;0.00001
